id,created_at,text,likes,in reply to,retweeted
1410693663861190657,2021-07-01 20:15:53+00:00,"The pandemic’s impact in India has been devastating—and sadly, it also poses new barriers to girls’ education. That… https://t.co/PbGpGiMGzI",3772,,False
1410274721371930626,2021-06-30 16:31:09+00:00,"The first time I met Amy Sherald, our connection was instant. From the way she carried herself to the art she creat… https://t.co/QMmoKMX2sE",2716,,False
1409588780432982017,2021-06-28 19:05:28+00:00,I'm so thrilled to hear that @YouTube's Creators for Change on Girls' Education Special won the @DaytimeEmmys for O… https://t.co/C67w2caAZ9,3900,,False
1408836340108738561,2021-06-26 17:15:33+00:00,"Congratulations to my friend, @ConanOBrien, on an incredible run. Thank you for bringing light and laughter into ou… https://t.co/nYQIDOfE10",23849,,False
1408492519495766020,2021-06-25 18:29:19+00:00,RT @BarackObama: Congratulations to the @CripCampFilm team on their @PeabodyAwards! I could not be prouder of the disability rights activis…,0,,False
1407435960833482754,2021-06-22 20:30:56+00:00,"If you haven’t seen it yet, @itskerrii’s race at the Olympic Trials is something to behold—but her grace and grit i… https://t.co/nfiEB6XK4g",84893,,False
1407322595389751299,2021-06-22 13:00:28+00:00,Thrilled to announce that Detroit will be our latest partner city for the Pass the Love campaign with @PHAnews! We’… https://t.co/NVARZouJbB,3474,,False
1407073606929108993,2021-06-21 20:31:04+00:00,"RT @WhenWeAllVote: Today 80+ businesses declared their public support for the #ForThePeopleAct. An ENORMOUS thank you to 
@dfadcoalition &amp;…",0,,False
1406598649010917382,2021-06-20 13:03:45+00:00,Happy #FathersDay to all the dads out there—especially the one and only @BarackObama! Our daughters couldn’t have a… https://t.co/oRmRFIZ3fI,94678,,False
1406309063118438406,2021-06-19 17:53:03+00:00,"Champ was such a good boy, and we know how much he meant to your family over the years. Barack and I are sending al… https://t.co/Wi7KqhAsEZ",61288,,False
1406280611732590596,2021-06-19 15:59:59+00:00,It's up to each of us to work to protect our democracy and expand our voting rights. There’s too much on the line.… https://t.co/jukDntGMhv,2008,MichelleObama,False
1406280610046529536,2021-06-19 15:59:59+00:00,"Right now, we have the opportunity to enact voting reforms, expand voting rights, and stop dozens of voter suppress… https://t.co/T157RoZsM0",2564,MichelleObama,False
1406280607387336707,2021-06-19 15:59:58+00:00,Let's celebrate #Juneteenth becoming a federal holiday by recognizing the generations of enslaved Black people who… https://t.co/YfPspHZYNC,9384,,False
1405940927160635393,2021-06-18 17:30:12+00:00,"It’s almost #FathersDay, so I’m thinking a lot about my dad and reflecting on some of the memories we shared growin… https://t.co/ALqRWrycMH",20766,,False
1405628005649682441,2021-06-17 20:46:46+00:00,"Ahead of #FathersDay, the @GirlsAlliance is spotlighting dads around the world who are supporting their daughters’… https://t.co/KGXfvLptHB",2939,,False
1403011946832666625,2021-06-10 15:31:29+00:00,Happy birthday to my darling Sasha! I am so grateful for every laugh we’ve shared — and everything you’ve taught me… https://t.co/HvkW91h0bv,118811,,False
1401210526017982473,2021-06-05 16:13:17+00:00,"Thinking of you today, Breonna. 🖤

Artwork by Amy Sherald https://t.co/9KToPPG1jB",56934,,False
1400550660609908737,2021-06-03 20:31:13+00:00,"Happy birthday, @DrBiden! You’re such a great friend—and even better wife, mom, and grandmother. Thank you for lead… https://t.co/ZYB0WpEgTl",63840,,False
1400520354771226628,2021-06-03 18:30:47+00:00,The ripple effects from COVID-19 continue to threaten girls’ education around the globe. That’s why I’m asking ever… https://t.co/IHVHTPadN0,4398,,False
1400188017139138563,2021-06-02 20:30:12+00:00,I can’t wait for you all to see We The People! This Higher Ground project is filled with the songs and the heart of… https://t.co/zLGUqJSLBN,6322,,False
1399850355022831626,2021-06-01 22:08:27+00:00,I’d love to hear more about your graduation day. Send me a photo or shout out another graduate using #DearGrad and #ReachHigher! 🎓👨🏿‍🎓🎓👩‍🎓🎓,2404,MichelleObama,False
1399850354116861955,2021-06-01 22:08:27+00:00,"Life threw an awful lot at you this year, and you didn’t blink. Instead, you pushed yourself harder and overcame th… https://t.co/yb0CXQwxv0",3286,MichelleObama,False
1399850352271409155,2021-06-01 22:08:26+00:00,"Congratulations, Class of 2021! You overcame so much this year with grace and humor. You should be incredibly proud… https://t.co/hJJAoNh5Fq",7902,,False
1398309957800448004,2021-05-28 16:07:27+00:00,William “Buddy” Carter is retiring after 47 years as a butler at the White House and the Blair House. Barack and I… https://t.co/oyfxguaxxd,46639,,False
1397887087706267648,2021-05-27 12:07:07+00:00,"His work has been read (and re-read, and re-read) tens of millions of times over the years, one generation’s gift t… https://t.co/TYCoJv80Lv",14027,,False
1397213694514315272,2021-05-25 15:31:18+00:00,"I’m sending all my love to Gianna and to the rest of the Floyd family today. Her dad did change the world, and now… https://t.co/Bg2pgviBJu",8357,MichelleObama,False
1397213693583183878,2021-05-25 15:31:18+00:00,All of us have a role to play to hold our leaders accountable and speak out about injustice. Let’s make sure that “… https://t.co/m3yXokKQqd,6522,MichelleObama,False
1397213691578306571,2021-05-25 15:31:17+00:00,"It’s been a year since those horrifying 8 minutes and 46 seconds stole George Floyd’s life. Today, I am thinking of… https://t.co/L9VAKm3Svv",31277,,False
1396922791480467464,2021-05-24 20:15:21+00:00,"You can join the fun, too! And for every badge you earn at the link below, @Walmart will donate to our Pass the Lov… https://t.co/Imhhfm5nw5",1079,MichelleObama,False
1396922786925457421,2021-05-24 20:15:20+00:00,"One of my favorite things about Waffles + Mochi is that when families watch the show together, they’ll not only lau… https://t.co/duh7GQr6FQ",2602,,False
1396566873043574786,2021-05-23 20:41:04+00:00,"Always amazed by you, @Simone_Biles! Keep shining — we’re rooting for you! 😍✨

 https://t.co/Z5bbYIu95a",55021,,False
1393576408249667584,2021-05-15 14:38:01+00:00,RT @PHAnews: Inspire your family to eat healthy and give back through fun and interactive food adventures at The Hidden World of Waffles +…,0,,False
1392572631904395267,2021-05-12 20:09:22+00:00,This was fun! Had some laughs with @StephenAtHome and even raised $9k for our Pass the Love campaign with @PHAnews.… https://t.co/uv0ZqsYet0,3950,,False
1392518816723316737,2021-05-12 16:35:32+00:00,"We have a long way to go to address food equity in America, but I am glad to see the private sector’s commitment to… https://t.co/mFUmYV9gZv",1223,MichelleObama,False
1392518768505544704,2021-05-12 16:35:20+00:00,I’ve long said that supporting parents and helping our kids build healthy habits isn’t just a job for nonprofits or… https://t.co/422xzbhATJ,3219,,False
