Latitude,Longitude
40.75578,-73.96677
40.71266,-73.97767
40.76964,-73.98381
40.72524,-74.00334
40.72876,-73.99398
40.70476,-74.00529
40.74307,-74.00755
40.71404,-73.97393
40.72064,-73.94321
40.73499,-73.8614
40.75797,-73.98926
40.8027,-73.93024
40.74687,-74.00477
40.75871,-73.99246
40.72246,-74.01182
40.77456,-73.94316
40.71347,-74.00687
40.75069,-73.98985
40.73418,-73.99496
40.64498,-73.79046
40.74098,-73.94586
40.73967,-73.98511
40.66901,-73.99468
40.76563,-73.9517
40.76148,-73.97043
40.77953,-73.9701
40.749,-73.98001
40.74061,-73.98737
40.72782,-73.88733
40.72805,-73.88611
40.72719,-74.0186
40.73081,-73.98295
40.74755,-73.98113
41.00321,-73.7217
40.7303,-73.99985
40.767,-73.86416
40.75791,-73.98343
40.72011,-73.99585
40.73311,-73.97425
40.72669,-74.01105
40.72983,-73.97231
40.76886,-73.88238
40.74615,-73.96515
40.83138,-73.94252
40.73678,-73.81474
40.81137,-73.90012
40.72536,-73.9967
40.76576,-73.93116
40.77003,-73.97494
40.71989,-74.00681
40.7264,-73.99898
40.72357,-74.00618
40.78396,-73.94632
40.73157,-73.97381
40.6958,-73.96766
40.71352,-73.9966
40.7587,-73.98131
40.70922,-73.99602
40.74825,-73.99002
40.73677,-73.93082
40.72708,-73.94965
40.72296,-73.98878
40.75562,-73.9613
40.71082,-73.98201
40.72768,-74.00317
40.75535,-73.98533
40.70611,-73.81809
40.84491,-73.92027
40.75456,-73.8944
40.80049,-73.97437
40.7799,-73.94371
40.77984,-73.97086
40.78492,-73.98436
40.77463,-73.9923
40.76647,-73.9781
40.74114,-74.00585
40.76789,-73.90326
40.71778,-73.9751
40.74438,-73.94037
40.65692,-73.98242
40.79697,-73.97576
40.72464,-73.99422
40.73863,-73.84849
40.76378,-73.9759
40.73502,-73.99039
40.78571,-73.94895
40.78044,-73.95913
40.74146,-73.97829
40.67461,-73.97996
40.77935,-73.98869
40.74719,-73.98968
40.65452,-73.97866
40.72587,-73.98655
40.79053,-73.98155
40.77992,-73.92672
40.71544,-73.97855
40.80571,-73.90951
40.72215,-73.99674
40.72197,-73.95328
40.7967,-73.92927
40.74499,-73.97067
40.71063,-73.98457
40.71304,-73.98554
40.75381,-73.98065
40.72777,-73.95067
40.80057,-73.94442
40.74568,-73.97214
40.76516,-73.97913
40.71612,-73.97592
40.79861,-73.9293
40.714,-73.97698
40.74919,-73.98193
40.6865,-74.00838
40.70979,-73.99135
40.73523,-73.99181
40.78813,-73.94718
40.77811,-73.96574
40.74142,-73.95407
40.77528,-73.95163
40.66631,-73.79955
40.71881,-73.98931
40.78367,-73.98527
40.75445,-73.96245
40.75169,-73.96875
40.80598,-73.97042
40.71027,-73.96354
40.73166,-73.91831
40.71027,-73.99248
40.71304,-73.95544
40.71067,-73.98403
40.7485,-73.96896
40.72039,-74.00327
40.7228,-73.99305
